"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 26 01:14:55 GMT 2024","Sat Oct 26 01:14:56 GMT 2024","1046","Inventory Management","","","","","View product details by image",""
"passed","Sat Oct 26 01:14:52 GMT 2024","Sat Oct 26 01:14:53 GMT 2024","996","Checkout Process","","","","","Cancel checkout process",""
"passed","Sat Oct 26 01:14:49 GMT 2024","Sat Oct 26 01:14:50 GMT 2024","1407","Checkout Process","","","","","Failed checkout with invalid zip code",""
"passed","Sat Oct 26 01:15:06 GMT 2024","Sat Oct 26 01:15:06 GMT 2024","651","User Authentication","","","","","Login attempt without username",""
"passed","Sat Oct 26 01:14:43 GMT 2024","Sat Oct 26 01:14:44 GMT 2024","947","Shopping Cart Management","","","","","Add multiple products to cart",""
"passed","Sat Oct 26 01:14:47 GMT 2024","Sat Oct 26 01:14:49 GMT 2024","1859","Checkout Process","","","","","Complete purchase successfully",""
"passed","Sat Oct 26 01:15:02 GMT 2024","Sat Oct 26 01:15:03 GMT 2024","1226","User Authentication","","","","","Successful login with valid credentials",""
"passed","Sat Oct 26 01:14:56 GMT 2024","Sat Oct 26 01:14:57 GMT 2024","842","Inventory Management","","","","","View product details by title",""
"passed","Sat Oct 26 01:15:05 GMT 2024","Sat Oct 26 01:15:06 GMT 2024","436","User Authentication","","","","","Login attempt with empty fields",""
"passed","Sat Oct 26 01:14:42 GMT 2024","Sat Oct 26 01:14:43 GMT 2024","1038","Shopping Cart Management","","","","","Remove product from cart",""
"passed","Sat Oct 26 01:14:57 GMT 2024","Sat Oct 26 01:14:58 GMT 2024","772","Inventory Management","","","","","Add product to cart",""
"passed","Sat Oct 26 01:14:41 GMT 2024","Sat Oct 26 01:14:42 GMT 2024","1538","Shopping Cart Management","","","","","View product in cart",""
"passed","Sat Oct 26 01:15:04 GMT 2024","Sat Oct 26 01:15:05 GMT 2024","994","User Authentication","","","","","Failed login with locker user",""
"passed","Sat Oct 26 01:15:06 GMT 2024","Sat Oct 26 01:15:07 GMT 2024","703","User Authentication","","","","","Login attempt without password",""
"passed","Sat Oct 26 01:14:58 GMT 2024","Sat Oct 26 01:14:59 GMT 2024","844","Inventory Management","","","","","Remove product from cart",""
"passed","Sat Oct 26 01:14:51 GMT 2024","Sat Oct 26 01:14:52 GMT 2024","1006","Checkout Process","","","","","Failed checkout with empty fields",""
"passed","Sat Oct 26 01:15:03 GMT 2024","Sat Oct 26 01:15:04 GMT 2024","1086","User Authentication","","","","","Failed login with invalid password",""
