"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","783","Add product to cart","Inventory Management","Sat Oct 26 01:08:38 UTC 2024","passed","Sat Oct 26 01:08:39 UTC 2024","","","",""
"","995","Failed login with locker user","User Authentication","Sat Oct 26 01:08:45 UTC 2024","passed","Sat Oct 26 01:08:46 UTC 2024","","","",""
"","1009","Cancel checkout process","Checkout Process","Sat Oct 26 01:08:32 UTC 2024","passed","Sat Oct 26 01:08:33 UTC 2024","","","",""
"","1083","Failed login with invalid password","User Authentication","Sat Oct 26 01:08:44 UTC 2024","passed","Sat Oct 26 01:08:45 UTC 2024","","","",""
"","1435","Failed checkout with invalid zip code","Checkout Process","Sat Oct 26 01:08:30 UTC 2024","passed","Sat Oct 26 01:08:31 UTC 2024","","","",""
"","1022","View product details by image","Inventory Management","Sat Oct 26 01:08:36 UTC 2024","passed","Sat Oct 26 01:08:37 UTC 2024","","","",""
"","1893","Complete purchase successfully","Checkout Process","Sat Oct 26 01:08:28 UTC 2024","passed","Sat Oct 26 01:08:30 UTC 2024","","","",""
"","1034","Remove product from cart","Shopping Cart Management","Sat Oct 26 01:08:23 UTC 2024","passed","Sat Oct 26 01:08:24 UTC 2024","","","",""
"","1537","View product in cart","Shopping Cart Management","Sat Oct 26 01:08:21 UTC 2024","passed","Sat Oct 26 01:08:23 UTC 2024","","","",""
"","436","Login attempt with empty fields","User Authentication","Sat Oct 26 01:08:46 UTC 2024","passed","Sat Oct 26 01:08:46 UTC 2024","","","",""
"","869","Remove product from cart","Inventory Management","Sat Oct 26 01:08:39 UTC 2024","passed","Sat Oct 26 01:08:40 UTC 2024","","","",""
"","961","Add multiple products to cart","Shopping Cart Management","Sat Oct 26 01:08:24 UTC 2024","passed","Sat Oct 26 01:08:25 UTC 2024","","","",""
"","848","View product details by title","Inventory Management","Sat Oct 26 01:08:37 UTC 2024","passed","Sat Oct 26 01:08:38 UTC 2024","","","",""
"","651","Login attempt without username","User Authentication","Sat Oct 26 01:08:47 UTC 2024","passed","Sat Oct 26 01:08:47 UTC 2024","","","",""
"","704","Login attempt without password","User Authentication","Sat Oct 26 01:08:47 UTC 2024","passed","Sat Oct 26 01:08:48 UTC 2024","","","",""
"","1034","Failed checkout with empty fields","Checkout Process","Sat Oct 26 01:08:31 UTC 2024","passed","Sat Oct 26 01:08:32 UTC 2024","","","",""
"","1225","Successful login with valid credentials","User Authentication","Sat Oct 26 01:08:43 UTC 2024","passed","Sat Oct 26 01:08:44 UTC 2024","","","",""
